Matriz de covarianza,Numero de componentes,Eficiencia en Validacion,Intervalo de confianza en Validacion,Eficiencia en Entrenamiento,Intervalo de confianza Entrenamiento
diag,1,0.4753523670097061,0.0024939855325870797,0.3367993203511519,0.03161989553439981
diag,2,0.47645065559490796,0.01319451292035803,0.3264274569250332,0.0324249497902304
diag,3,0.5185335423699129,0.020054014750590342,0.31161733104562644,0.03024062293632996
diag,4,0.5348140298674973,0.016310167455941597,0.2810103668660081,0.034137769195200396
diag,5,0.5449122928016071,0.010324954942477404,0.28274169456891723,0.03780684551889663
diag,6,0.5523043683809353,0.011737015106388573,0.2833313898929998,0.038306277742966896
full,1,0.930439938308275,0.0021541360614395176,0.6660803029545846,0.0290787136254257
full,2,0.9627265372209517,0.007212187614757708,0.6995624482906053,0.031074170918134022
full,3,0.9871816681103192,0.0014627328583245473,0.702439850521675,0.03211603128673014
full,4,0.99117961160623,0.0009702616608530562,0.6685806777609347,0.025489948351774296
full,5,0.993638820849321,0.0018631400442597203,0.608598335304537,0.06282620274654409
full,6,0.9965515023244248,0.0014347142268608859,0.5639402975129516,0.06275944258377433
spherical,1,0.4463632357680183,0.002536497505770856,0.28544807405062944,0.038010955277595924
spherical,2,0.45507350283552156,0.013072470724891127,0.27659431515938987,0.02903557708138902
spherical,3,0.49307552740315186,0.009490826556462351,0.3373712470778987,0.033979765559579725
spherical,4,0.5103591198153439,0.006666020142280764,0.3496804428822886,0.030857534061172476
spherical,5,0.5211988663463168,0.009975839036432458,0.3581405162888063,0.032324251341498904
spherical,6,0.5286456359423779,0.007117512418601794,0.3700737952058104,0.03307203419036809
tied,1,0.930439938308275,0.0021541360614395176,0.6660803029545846,0.0290787136254257
tied,2,0.9316489824189228,0.002460031498105405,0.6635765965362341,0.03202553180905137
tied,3,0.9331189909981655,0.0022019560402575895,0.6737729950636616,0.03253633995235023
tied,4,0.9340257882373832,0.0021450285790014217,0.6812741194827117,0.034416865376811503
tied,5,0.9344242238718573,0.00195317185036655,0.6889712537411227,0.03929869841344118
tied,6,0.9352760524634475,0.002382668767799765,0.6899252053105894,0.034278015616114516
